nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
PAULA MORENO PARO BELMONTE,F,23/06/1973,87,2,3,62,6,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1035760.2599999999,105453.3,105634.73,105767.33,110422.17,109556.14,107546.98,94842.01,90556.61,98626.57,107354.42,,,33763.0
MARIA PERPÉTUA DE ALMEIDA,F,28/12/1964,86,4,2,56,8,27,1,388926.36999999994,40876.75,38531.07,65864.03,66620.97,53571.92,37080.29,43254.26,14245.86,16783.06,11611.31,486.85,,1103492.51,111465.58,106860.33,104769.12,111544.45,111544.45,111544.45,111499.84,111405.91,111429.19,111429.19,,,33763.0
NORMA AYUB ALVES,F,07/09/1959,77,14,1,19,8,5,0,274172.87,19354.87,22480.29,25213.93,34202.81,34648.47,33963.01,31584.22,23186.05,21711.62,24913.35,2914.25,,1086780.1,109263.62,109263.62,109371.25,108682.13,108282.54,109497.38,106962.54,107480.28,107282.54,110694.2,,,33763.0
KATIA DA SILVA SASTRE,F,04/04/1976,91,0,1,38,0,19,0,355919.45999999996,34893.09,34694.24,64166.28,35385.2,36339.7,38923.8,34961.86,43018.05,29335.74,4107.45,94.05,,1056090.3600000003,107322.54,104138.84,105140.2,105895.02,105351.11,96070.39,98655.82,111265.29,111265.29,110985.86,,,33763.0
MARIA AUXILIADORA SEABRA REZENDE,F,01/10/1964,71,0,3,69,3,41,0,244204.17,20187.34,51058.21,42305.79,52041.49,47722.61,22610.88,8277.85,,,,0.0,,1033855.08,97131.95,97131.95,102063.65,104981.11,97310.99,99796.88,102973.35,109375.33,111544.35,111545.52,,,33763.0
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,F,30/01/1986,67,17,8,24,13,16,0,221802.92,24757.35,14536.29,33354.13,32630.75,38636.18,25835.19,21096.42,20196.27,4322.45,6205.76,232.13,,1091268.51,103819.39,108270.5,109719.5,110069.34,110134.52,109472.23,110404.13,110404.13,110398.05,108576.72,,,33763.0
ÉRIKA JUCÁ KOKAY,F,15/08/1957,90,1,1,132,1,16,0,219455.00999999998,21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,250.02,,1104968.2799999998,106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.2,109666.7,111532.23,111473.53,,,33763.0
ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,05/10/1944,74,5,13,11,2,16,0,323224.20000000007,18282.77,21903.47,42172.9,54698.46,50424.42,44680.57,25428.51,30182.96,15955.03,18147.74,1347.37,,1090868.2200000002,109942.97,108266.63,106606.75,106963.42,110173.43,110012.89,110173.43,111342.81,111617.17,105768.72,,,33763.0
ROSA NEIDE SANDES DE ALMEIDA,F,08/08/1963,88,3,1,40,4,5,1,353148.92,34234.38,47655.5,65702.41,36747.44,42534.13,32039.17,23335.58,18867.29,10899.48,21660.54,19473.0,,1099986.55,111574.65,110892.89,108386.56,109037.91,110196.13,109389.74,109971.9,109688.57,109645.72,111202.48,,,33763.0
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,F,21/06/1973,91,0,1,34,0,6,0,369249.8,73518.31,24414.79,47486.37,49562.35,28947.17,39390.78,27825.99,17636.42,7286.62,47181.0,6000.0,,1113310.6199999999,111465.49,111400.5,110738.38,111378.13,111439.63,111111.26,111351.62,111476.44,111465.5,111483.67,,,33763.0
