nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,17/10/1972,84,3,5,2,1,40,0,312968.63,32850.43,40394.52,45258.71,48013.04,46806.07,25355.86,21639.01,25533.18,16448.58,10669.23,0.0,,1055312.52,110448.12,108787.76,97120.73,102047.21,105204.32,111471.69,102622.24,103739.73,108433.33,105437.39,,,33763.0
ELI DIAS BORGES,M,01/09/1960,81,0,11,6,0,11,0,387768.57,31188.98,46066.46,51592.15,46239.19,48724.2,43313.71,41770.08,35826.39,32457.67,10263.37,326.37,,1104364.78,111130.49,111392.69,111205.19,108796.48,110064.23,111248.28,109041.83,110416.27,110246.84,110822.48,,,33763.0
EFRAIM DE ARAÚJO MORAIS FILHO,M,18/03/1979,73,9,10,6,5,14,0,259626.74999999994,31920.25,54289.28,52463.46,51650.4,42763.1,7412.58,9627.39,8755.96,1.36,558.52,184.45,,1115589.6199999999,111148.6,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111575.98,111544.43,,,33763.0
ELMAR JOSE VIEIRA NASCIMENTO,M,06/07/1970,68,24,0,1,0,0,1,387228.91000000003,11585.43,41325.81,49088.47,60314.77,42793.2,47062.33,37636.26,47299.08,35416.34,14707.22,0.0,,1088843.14,111611.09,111611.09,111611.09,111095.09,111611.09,110283.89,98339.09,103946.26,108324.61,110409.84,,,33763.0
ELIAS VAZ DE ANDRADE,M,04/07/1966,82,9,1,81,5,14,0,165066.01,15838.58,26200.21,25592.46,27999.68,27596.14,12853.99,11787.89,3017.22,323.45,13514.24,342.15,,1074212.44,105866.83,105866.83,104555.04,105866.83,106630.73,108826.95,108826.95,108826.95,108826.95,110118.38,,,33763.0
ADRIANO ELI CORRÊA,M,13/01/1976,82,0,10,42,0,27,0,259050.2,22593.3,23225.37,28285.66,57687.8,56126.53,30297.57,22196.45,6522.28,421.69,11693.55,0.0,,1048068.7200000001,105205.6,105205.6,105205.6,105205.6,101881.14,104761.01,106115.52,106115.52,106115.52,102257.61,,,33763.0
ENRICO VAN BLARCUM DE GRAAFF MISASI,M,06/08/1994,87,0,5,43,0,21,0,311478.6499999999,24947.21,27020.22,42425.59,43740.7,54222.55,37817.19,41206.87,22642.88,16871.36,525.61,58.47,,1106991.7,111586.88,111302.18,110816.09,106788.8,110974.2,110159.38,111013.37,111312.77,111544.46,111493.57,,,33763.0
EMIDIO ALVES MADEIRA JUNIOR,M,10/03/1967,80,12,0,16,4,2,0,299796.22000000003,56761.57,45061.77,39330.09,32196.96,44434.07,26760.94,20847.93,15245.77,11938.26,7218.86,0.0,,1114845.3900000001,110980.22,110980.22,111528.12,111617.15,111623.22,111623.22,111623.28,111623.32,111623.32,111623.32,,,33763.0
EROS FERREIRA BIONDINI,M,20/05/1971,88,4,0,33,1,14,0,271458.23000000004,20515.33,28975.49,33405.69,31526.03,36712.77,29487.2,35290.07,20709.2,17992.3,15160.88,1683.27,,836020.3999999999,90223.04,90223.04,86035.27,78682.22,79786.71,78922.44,78922.44,79682.04,86771.6,86771.6,,,33763.0
EMANUEL PINHEIRO DA SILVA PRIMO,M,05/01/1995,70,3,19,11,1,7,0,256826.54,18918.9,40897.04,43529.5,29158.03,34158.66,52895.35,15688.43,14630.6,825.9,5915.0,209.13,,1067534.6700000002,108820.92,109941.35,111435.25,111435.25,110245.56,109803.54,108192.76,97773.24,100583.45,99303.35,,,33763.0
ENIO JOSÉ VERRI,M,27/03/1961,89,2,1,32,0,4,0,341401.55999999994,38190.58,37467.64,68879.63,38986.43,43960.07,29704.02,25886.97,22258.37,24764.98,11302.87,0.0,,1111367.6099999999,111398.83,111398.83,111398.83,110220.44,110749.59,110538.29,111455.18,110876.18,111665.72,111665.72,,,33763.0
EUCLYDES MARCOS PETTERSEN NETO,M,15/08/1984,77,14,1,6,6,13,1,229414.98,39458.55,32301.23,28593.33,36303.64,35945.83,21880.35,11556.55,10510.19,6865.31,6000.0,0.0,,1102008.88,101942.13,110241.46,111623.19,111623.22,111623.22,110951.73,109856.3,110901.19,111623.22,111623.22,,,33763.0
EXPEDITO GONCALVES FERREIRA NETTO,M,05/10/1988,82,9,1,2,3,16,0,210097.38999999998,14767.54,30093.83,31810.97,30510.09,25416.15,18925.02,27570.19,12641.28,1388.85,15991.39,982.08,,1099381.29,111544.33,111544.33,111544.33,111529.16,111539.45,111100.52,109785.83,109894.82,110132.19,100766.33,,,33763.0
